Number Searched;Binary Search Tree;AVL
17451;17;15
9597;26;15
392;14;12
13330;17;14
13414;16;14
26566;26;13
1750;21;14
4592;19;11
2577;24;15
28;10;13
14311;20;15
9829;12;15
2458;19;14
7716;26;13
1911;22;15
29270;25;14
10789;18;15
4771;13;15
2236;20;13
4305;15;15
20998;16;14
817;5;15
2587;18;15
5883;22;15
15642;23;14
27036;14;13
4581;21;15
12361;11;15
27985;15;15
5070;17;14
21769;21;15
19187;18;15
71;13;15
26354;26;13
16448;18;9
26790;15;14
22131;20;15
3135;20;15
4276;11;13
26490;20;13
167;17;15
5802;5;14
1879;20;15
22307;15;15
27705;22;15
8632;18;12
23660;19;13
11883;20;15
14089;22;15
21136;20;11
3146;22;14
29920;12;10
2500;19;13
28500;21;13
24924;23;12
13513;19;15
18656;24;10
177;8;15
24429;26;15
18783;13;15
28426;18;14
12725;23;15
29730;19;13
23866;22;14
25028;18;12
25057;28;14
4296;13;12
11530;19;14
1127;19;15
7552;14;8
4432;13;11
25223;23;14
16344;19;12
28727;19;14
5272;17;12
7083;18;15
11197;17;15
17884;23;13
10733;16;15
29214;16;14
22866;23;14
19851;21;15
751;6;15
5874;17;14
1976;22;12
4855;20;15
16369;17;15
22160;17;11
23807;25;15
16895;14;15
25739;34;14
6386;18;14
13707;19;15
18562;21;14
21196;19;13
12819;18;15
700;10;13
19059;18;15
475;10;15
5796;17;13
2050;24;14
7216;19;11
7135;23;15
18689;20;15
11261;19;15
14095;18;15
24628;25;12
4707;17;15
3309;23;15
23610;20;14
6912;17;7
23639;22;15
21578;21;14
22974;21;14
24045;18;15
15983;20;15
5547;19;15
9694;19;14
29435;9;15
5175;17;15
20925;21;15
17581;18;15
1809;19;15
12138;18;14
12189;20;15
11228;11;13
5644;20;13
1461;18;15
25989;27;14
6352;17;11
10602;16;14
7902;25;14
5291;9;15
3319;25;15
16998;13;14
1231;20;15
7270;25;14
25693;25;14
7859;21;15
15797;21;15
10387;18;15
14970;18;14
20144;18;11
12286;18;14
2711;23;15
4431;18;15
4145;18;15
5823;14;15
20838;20;14
28337;13;15
18050;18;14
10662;20;14
4963;19;15
25572;20;12
13225;17;15
304;15;11
8200;21;12
13163;17;15
22252;15;13
2843;20;15
11112;19;12
2335;19;15
5267;17;15
8991;26;15
18612;20;13
1012;24;13
2799;20;15
9177;23;15
1883;24;15
13639;17;15
14491;18;15
1032;19;12
27509;20;15
14916;14;13
22530;8;14
21499;21;15
17762;18;14
21094;24;14
5153;22;15
12106;17;14
11438;21;14
14359;14;15
1557;16;15
588;7;13
8760;20;12
16075;25;15
20154;14;14
26282;23;13
7572;17;13
15064;19;12
8819;26;15
23835;24;15
2477;21;15
7049;19;15
22445;17;15
25806;27;13
67;8;15
27501;17;15
28545;13;15
22535;18;15
29904;10;11
10997;19;15
19062;17;14
12227;18;15
5725;21;15
14654;12;14
15872;28;6
21302;18;14
9747;15;15
16172;22;13
9030;27;14
1819;17;15
27982;15;14
20664;16;12
17192;21;12
2851;20;15
4742;9;14
14475;20;15
17281;22;15
7233;26;15
4872;22;12
8651;19;15
1367;14;15
3404;17;13
18844;10;13
5173;16;15
17983;20;15
2389;21;15
18533;21;15
545;15;15
24101;25;15
760;16;12
2568;24;12
2704;20;11
9419;20;15
28496;22;11
15889;23;15
6419;17;15
1903;23;15
23704;19;12
13458;17;14
15816;28;12
11047;20;15
21170;21;14
11532;16;13
2877;21;15
18520;18;12
27571;21;15
3219;23;15
1044;21;13
15494;18;14
16989;14;15
16174;23;14
19435;20;15
20887;19;15
23703;17;15
18557;17;15
1820;21;13
26577;26;14
6683;17;15
18334;14;14
11810;21;14
14562;15;14
1862;19;14
29264;22;11
23872;20;9
19491;25;15
21782;16;14
19289;18;15
16233;20;15
29;11;15
17159;18;15
6182;25;14
1092;18;13
19789;21;15
28766;16;13
22962;18;14
15950;28;14
9764;7;13
1874;21;14
19625;20;15
26932;13;13
6226;26;14
23911;23;15
13516;18;13
8417;25;15
4932;19;13
12260;11;13
903;17;15
7413;18;15
989;21;15
1160;16;12
18977;16;15
11063;18;15
21952;16;9
633;9;15
573;7;15
28716;16;12
1279;20;15
22397;13;15
1787;15;15
5609;18;15
11853;25;15
2411;22;15
3096;22;12
23845;15;15
24382;25;14
29670;21;14
13574;23;14
17554;16;14
27798;17;14
16961;17;15
8974;24;14
14958;16;14
26988;15;13
21957;16;15
23211;17;15
3156;18;13
7097;24;15
4124;16;13
23603;22;15
2393;17;15
26134;23;13
6660;19;13
1996;19;13
2644;23;13
2781;23;15
20039;18;15
29703;14;14
21629;19;15
6137;22;15
20717;20;15
24009;25;15
2618;21;14
23880;21;12
9904;15;11
24496;23;11
7733;19;15
27268;17;13
24752;21;10
21713;22;15
2263;18;15
8117;24;15
12392;16;12
50;8;14
24352;27;10
646;11;14
1036;15;13
27539;22;15
2586;22;14
15356;17;13
29984;12;10
3993;16;15
5279;17;15
21977;14;15
4087;17;15
23593;15;15
27681;16;15
29184;19;5
17601;12;15
20048;18;11
24410;20;14
18823;10;15
3081;20;15
22657;25;15
3588;19;13
22550;20;14
2552;23;12
630;11;14
12732;19;13
11431;23;15
7718;29;14
8922;25;14
18773;21;15
14217;16;15
2479;20;15
29990;11;13
3698;18;14
14763;16;15
109;12;15
664;13;12
26964;20;13
14615;11;15
20201;15;15
16145;23;15
22256;14;11
7869;16;15
3100;21;13
16189;22;15
410;5;14
24946;21;13
28624;16;11
4856;17;12
10732;18;13
25144;17;11
1672;18;12
9197;22;15
5873;16;15
24000;24;9
25969;22;14
18162;23;14
20961;14;15
5933;18;15
1041;20;15
23787;20;15
4388;12;13
8219;22;15
10751;17;15
1875;19;15
17293;22;15
25056;29;9
24303;26;15
23965;21;15
17968;20;11
19473;22;15
29519;19;15
11235;13;15
11380;16;13
19529;20;15
26338;29;13
19644;18;13
20073;15;15
29477;17;15
2513;18;15
21611;20;15
4443;17;15
27283;19;15
27523;16;15
19670;21;14
7847;21;15
8525;20;15
25791;20;14
23852;19;13
2382;20;14
20384;18;10
7346;16;14
5322;17;14
16071;24;15
14706;14;14
4414;19;14
23904;24;10
15769;24;15
20867;22;15
12466;15;14
22607;23;15
4138;12;14
8691;17;15
12350;19;14
11094;23;14
13650;15;14
7685;19;15
9899;19;15
110;13;14
9268;13;13
16674;16;14
16200;25;12
15602;27;14
14030;23;14
7969;19;15
6440;23;12
13315;17;15
8910;24;14
18885;13;15
9866;16;14
22571;20;15
328;15;12
12167;18;15
8345;21;15
12352;21;9
16613;16;15
22422;13;14
25430;17;13
5004;21;13
3174;19;14
7965;17;15
17874;19;14
28970;18;13
18153;25;15
23492;19;13
17056;21;10
9907;13;15
21939;13;15
1913;24;15
1162;18;14
10779;20;15
10063;10;15
22896;23;11
11139;21;15
2773;22;15
3110;16;14
28776;15;11
24029;24;15
3646;21;14
9487;17;15
29233;17;15
1659;16;15
27448;21;12
16280;23;12
17515;9;15
1934;20;14
26901;19;15
2598;21;14
17040;11;11
26669;22;15
26040;28;11
20770;21;14
5429;12;15
24247;22;15
1782;25;14
28182;19;14
3724;18;13
2908;20;13
6978;21;14
13758;20;14
12334;17;14
10728;18;12
28042;21;14
3169;19;15
15895;26;15
23538;21;14
4188;14;13
5217;22;15
754;14;14
27659;22;15
25677;22;14
11026;16;14
10648;20;12
20796;26;13
23963;19;15
10184;15;12
20435;19;15
1712;23;11
19729;21;15
4404;16;13
13927;21;15
2989;26;15
12331;19;15
15600;24;11
12883;18;15
8137;25;15
19579;24;15
3416;17;12
17236;20;13
3930;14;14
6731;17;15
16796;25;13
157;18;15
9262;15;14
17028;16;13
3091;22;15
25888;24;9
3708;19;13
13263;21;15
25298;26;13
12103;17;15
23067;25;15
4857;19;15
15998;21;14
29442;14;14
17394;15;14
2716;26;13
15198;19;14
18247;18;15
944;22;11
15868;28;13
20660;17;13
25379;17;14
23997;26;15
25391;20;14
4686;16;14
10495;14;15
4464;16;11
18561;22;15
12376;22;12
1073;23;15
1169;16;15
18710;21;14
10612;14;13
24952;18;11
25794;26;13
485;14;15
25357;11;14
14482;14;14
9483;16;15
28533;12;15
7143;20;15
493;9;15
29810;16;13
19210;14;14
27899;18;15
17783;14;15
3270;18;14
24963;21;14
19587;20;15
21583;22;15
5427;19;15
29085;8;14
18257;18;15
27853;17;15
4676;22;13
